0.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
1.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
2.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
3.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
4.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
5.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
6.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
7.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
8.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
9.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
10.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
11.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
12.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
13.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
14.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
15.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
16.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
17.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
18.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
19.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
20.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
21.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
22.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
23.0,1.0750e-02,6.8486e-05,6.8486e-02,1.4380e-04,7.9450e-02,122.900
24.0,1.0488e-02,6.6820e-05,6.6820e-02,1.4031e-04,7.7518e-02,122.493
25.0,1.0115e-02,6.4441e-05,6.4441e-02,1.3531e-04,7.4757e-02,121.913
26.0,9.7412e-03,6.2061e-05,6.2061e-02,1.3031e-04,7.1997e-02,121.332
27.0,9.3677e-03,5.9682e-05,5.9682e-02,1.2532e-04,6.9236e-02,120.751
28.0,8.9942e-03,5.7302e-05,5.7302e-02,1.2032e-04,6.6476e-02,120.170
29.0,8.6207e-03,5.4923e-05,5.4923e-02,1.1532e-04,6.3715e-02,119.589
30.0,8.2472e-03,5.2543e-05,5.2543e-02,1.1033e-04,6.0955e-02,119.008
31.0,7.8737e-03,5.0163e-05,5.0163e-02,1.0533e-04,5.8194e-02,118.428
32.0,7.5002e-03,4.7784e-05,4.7784e-02,1.0034e-04,5.5434e-02,117.847
33.0,7.1267e-03,4.5404e-05,4.5404e-02,9.5339e-05,5.2673e-02,117.266
34.0,6.7532e-03,4.3025e-05,4.3025e-02,9.0342e-05,4.9913e-02,116.685
35.0,6.3797e-03,4.0645e-05,4.0645e-02,8.5346e-05,4.7152e-02,116.104
36.0,6.0062e-03,3.8266e-05,3.8266e-02,8.0349e-05,4.4392e-02,115.523
37.0,5.6327e-03,3.5886e-05,3.5886e-02,7.5353e-05,4.1631e-02,114.943
38.0,5.2592e-03,3.3507e-05,3.3507e-02,7.0356e-05,3.8871e-02,114.362
39.0,4.8857e-03,3.1127e-05,3.1127e-02,6.5360e-05,3.6110e-02,113.781
40.0,4.5123e-03,2.8748e-05,2.8748e-02,6.0363e-05,3.3350e-02,113.200
41.0,4.3537e-03,2.7738e-05,2.7738e-02,5.8243e-05,3.2178e-02,113.670
42.0,4.1952e-03,2.6728e-05,2.6728e-02,5.6122e-05,3.1006e-02,114.140
43.0,4.0366e-03,2.5718e-05,2.5718e-02,5.4001e-05,2.9835e-02,114.610
44.0,3.8781e-03,2.4708e-05,2.4708e-02,5.1880e-05,2.8663e-02,115.080
45.0,3.7196e-03,2.3697e-05,2.3697e-02,4.9759e-05,2.7491e-02,115.550
46.0,3.5610e-03,2.2687e-05,2.2687e-02,4.7638e-05,2.6319e-02,116.020
47.0,3.4025e-03,2.1677e-05,2.1677e-02,4.5517e-05,2.5148e-02,116.490
48.0,3.2440e-03,2.0667e-05,2.0667e-02,4.3397e-05,2.3976e-02,116.960
49.0,3.0854e-03,1.9657e-05,1.9657e-02,4.1276e-05,2.2804e-02,117.430
50.0,2.9269e-03,1.8647e-05,1.8647e-02,3.9155e-05,2.1632e-02,117.900
51.0,2.7683e-03,1.7637e-05,1.7637e-02,3.7034e-05,2.0461e-02,118.370
52.0,2.6098e-03,1.6627e-05,1.6627e-02,3.4913e-05,1.9289e-02,118.840
53.0,2.4513e-03,1.5617e-05,1.5617e-02,3.2792e-05,1.8117e-02,119.310
54.0,2.2927e-03,1.4607e-05,1.4607e-02,3.0671e-05,1.6945e-02,119.780
55.0,2.1342e-03,1.3597e-05,1.3597e-02,2.8550e-05,1.5774e-02,120.250
56.0,1.9757e-03,1.2587e-05,1.2587e-02,2.6430e-05,1.4602e-02,120.720
57.0,1.8171e-03,1.1577e-05,1.1577e-02,2.4309e-05,1.3430e-02,121.190
58.0,1.6586e-03,1.0567e-05,1.0567e-02,2.2188e-05,1.2259e-02,121.660
59.0,1.5000e-03,9.5568e-06,9.5568e-03,2.0067e-05,1.1087e-02,122.130
60.0,1.3415e-03,8.5467e-06,8.5467e-03,1.7946e-05,9.9150e-03,122.600
61.0,1.2959e-03,8.2559e-06,8.2559e-03,1.7336e-05,9.5777e-03,123.660
62.0,1.2502e-03,7.9651e-06,7.9651e-03,1.6725e-05,9.2403e-03,124.720
